;;;;1;2;3;4;5;6;7;8;9;10;11;12
;PT;DIVISI;Wilayah;No Blok;;TT;LUAS;POKOK;;;;ASAL BIBIT;TOPOGRAFI;SOIL TYPE;SPH
;;;;Baru;Lama;;;TOTAL;PRODUKTIF;BELUM PRODUKTIF;Mati;;;;
80;HJA ;LIYODU;Batulayar; E4 ;B64, B66;2016; 13,61 ; 1.825,00 ; 1.746 ;; 79 ; Damimas ;;; 128 
81;HJA ;LIYODU;Batulayar; E5 ;B63, B65;2016; 29,95 ; 3.879,00 ; 3.839 ;; 40 ; Damimas ;;; 128 
82;HJA ;LIYODU;Batulayar; E6 ;A61, A62, A63, A64;2016; 23,24 ; 3.087,00 ; 2.861 ;; 226 ; Damimas ;;; 123 
83;HJA ;LIYODU;Batulayar; E7 ;A66;2016; 20,99 ; 2.775,00 ; 2.730 ;; 45 ; Damimas ;;; 130 
84;HJA ;LIYODU;Batulayar; E8 ;A65;2016; 15,97 ; 2.093,00 ; 2.048 ;; 45 ; Damimas ;;; 128 
85;HJA ;LIYODU;Kayu Merah; F1 ;BL84, BL85, BM82, BM83, BM84;2016; 33,85 ; 4.120,00 ; 2.766 ;; 1.354 ; Damimas ;;; 82 
86;HJA ;LIYODU;Kayu Merah; F2 ;BM85, BM86;2016; 22,68 ; 3.111,00 ; 2.041 ;; 1.070 ; Damimas ;;; 90 
87;HJA ;LIYODU;Kayu Merah; F3 ;BM90, BM91;2016; 28,90 ; 3.680,00 ; 3.525 ;; 155 ; Damimas ;;; 122 
88;HJA ;LIYODU;Kayu Merah; F4 ;BM87;2017; 14,50 ; 1.680,00 ; 1.005,00 ;; 675 ; Damimas ;;; 69 
89;HJA ;LIYODU;Kayu Merah; F5 ;BM88;2016; 10,68 ; 1.425,00 ; 1.360,00 ;; 65 ; Damimas ;;; 127 
90;HJA ;LIYODU;Kayu Merah; F6 ;BM89;2016; 14,39 ; 2.018,00 ; 1.979,00 ;; 39 ; Damimas ;;; 138 
